Yazici_Modeli,Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Hata_Detayi,Baski_Durumu
Bambu Lab A1 Combo,0.4,0.08,239,57,50,189.0,ABS,63,Cubic,1,Normal,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.12,191,107,33,288.0,TPU,35,Grid,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,236,87,29,154.0,TPU,73,Cubic,0,Normal,Basarili,1
Ender-3 V2,0.4,0.12,203,109,37,219.0,PLA,41,Grid,1,Yok,Basarili,1
Ender-3 V3 KE,0.8,0.28,220,106,30,159.0,ABS,6,Lightning,0,Yok,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.6,0.2,239,57,58,67.0,ASA,75,Grid,1,Yok,Warping (Kasa Acik),0
X-Max,0.8,0.16,250,57,22,348.0,PLA,69,Grid,0,Yok,Basarili,1
CR-6 SE,0.6,0.12,230,95,21,156.0,ABS,7,Lightning,0,Tree,Warping (Kasa Acik),0
Original Prusa MK4,0.4,0.12,203,62,27,230.0,TPU,24,Gyroid,0,Tree,Basarili,1
Vyper,0.8,0.28,194,74,50,184.0,PLA,6,Cubic,0,Normal,Basarili,1
Bambu Lab A1,0.2,0.28,264,45,27,359.0,TPU,46,Lightning,0,Normal,Basarili,1
E2CF,0.4,0.08,194,65,21,301.0,PETG,47,Grid,1,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab P1S Combo,0.2,0.08,253,100,41,,PETG,25,Gyroid,0,Normal,Basarili,1
Saturn 4,0.4,0.08,218,54,24,153.0,PLA,49,Cubic,0,Tree,Hatali Malzeme (Reçine Cihazi),0
Creality K1 Max,0.4,0.28,264,71,26,423.0,PLA,24,Lightning,1,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.08,194,51,39,312.0,ABS,47,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.6,0.08,225,44,47,77.0,ASA,54,Gyroid,0,Tree,Warping (Kasa Acik),0
Photon Mono 4,0.4,0.16,268,103,32,236.0,ASA,99,Cubic,0,Tree,Hatali Malzeme (Reçine Cihazi),0
Creality K1C,0.4,0.08,208,110,21,52.0,PETG,47,Gyroid,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.12,253,66,51,151.0,PETG,28,Lightning,0,Yok,Basarili,1
Bambu Lab P1S,0.4,0.28,211,84,45,176.0,PETG,86,Gyroid,1,Yok,Basarili,1
Ender-3 V2,0.6,0.2,223,74,22,,TPU,88,Lightning,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.2,0.16,245,65,32,166.0,ASA,64,Gyroid,0,Tree,Warping (Kasa Acik),0
CR-10 Mini,0.8,0.28,206,62,40,,PLA,36,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
VEHO 1000,0.6,0.28,265,52,56,449.0,PETG,9,Gyroid,0,Normal,Basarili,1
Gemini S,0.4,0.12,278,42,42,,Recine_UV,6,Gyroid,1,Tree,Basarili,1
Bambu Lab A1 Mini,0.2,0.08,245,68,26,58.0,ABS,30,Cubic,0,Normal,Warping (Kasa Acik),0
Ender-3 Max,0.6,0.12,206,105,36,247.0,PLA,29,Grid,1,Yok,Basarili,1
Neptune 4 Plus,0.6,0.08,263,103,47,197.0,PLA,54,Gyroid,0,Normal,Basarili,1
Bambu Lab A1,0.6,0.08,271,67,49,199.0,PLA,90,Lightning,0,Tree,Basarili,1
Ender-3 V3 SE,0.6,0.28,207,75,24,373.0,ASA,43,Gyroid,1,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.2,0.08,234,45,43,279.0,PETG,90,Grid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.16,267,50,26,415.0,ABS,79,Lightning,0,Yok,Warping (Kasa Acik),0
VEHO 1000,0.4,0.16,245,77,53,,TPU,15,Cubic,1,Yok,Basarili,1
HALOT-One Pro,0.6,0.16,269,73,52,371.0,ABS,67,Cubic,0,Tree,Hatali Malzeme (Reçine Cihazi),0
Elegoo Neptune 4 Pro,0.4,0.28,239,106,46,396.0,ABS,72,Cubic,0,Normal,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.12,247,85,33,370.0,Recine_UV,22,Lightning,0,Yok,Basarili,1
Ender-3 V3 SE,0.2,0.2,207,68,38,236.0,ABS,99,Gyroid,1,Tree,Warping (Kasa Acik),0
Mars Pro,0.4,0.08,269,99,57,159.0,TPU,32,Lightning,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Anycubic Kobra 2 Pro,0.4,0.2,270,93,31,287.0,ABS,46,Lightning,1,Yok,Warping (Kasa Acik),0
X5SA,0.6,0.12,196,108,22,178.0,Recine_UV,64,Grid,0,Tree,Basarili,1
Kobra,0.4,0.12,265,113,26,265.0,ABS,26,Lightning,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.6,0.28,199,113,54,122.0,PETG,44,Cubic,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.16,258,48,44,449.0,Recine_UV,66,Lightning,0,Yok,Basarili,1
VEHO 800,0.4,0.16,274,49,34,65.0,PETG,7,Grid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.6,0.12,192,114,38,167.0,PETG,75,Lightning,0,Normal,Basarili,1
Mega Zero 2.0,0.6,0.28,272,107,38,440.0,PLA,67,Lightning,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.28,233,97,42,262.0,Recine_UV,24,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.08,259,91,30,378.0,ABS,75,Lightning,1,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.16,203,73,40,83.0,ASA,75,Gyroid,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.12,193,74,53,123.0,ASA,97,Cubic,1,Yok,Warping (Kasa Acik),0
Ender-3 V3 SE,0.4,0.2,207,72,58,446.0,ASA,30,Grid,0,Normal,Tikanma (Yetersiz Akis),0
X2D,0.2,0.16,241,111,26,64.0,TPU,45,Grid,0,Yok,Basarili,1
Sermoon P1,0.4,0.08,227,71,46,259.0,PETG,7,Grid,1,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.2,0.28,269,94,42,332.0,PETG,47,Lightning,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.12,209,47,57,243.0,PETG,21,Gyroid,0,Yok,Basarili,1
Hornet,0.4,0.16,277,85,39,407.0,Recine_UV,88,Cubic,0,Yok,Basarili,1
Creality K1C,0.4,0.2,233,53,46,232.0,TPU,57,Gyroid,0,Tree,Basarili,1
Original Prusa MK4,0.8,0.08,240,47,27,41.0,ABS,56,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.08,208,110,56,241.0,PLA,37,Grid,1,Yok,Basarili,1
HALOT-X1,0.4,0.16,257,93,22,393.0,Recine_UV,84,Grid,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.2,255,60,21,71.0,PETG,64,Gyroid,0,Normal,Basarili,1
Replicator 2,0.4,0.08,202,114,41,128.0,ABS,91,Gyroid,0,Yok,Basarili,1
Sketch Large,0.2,0.12,251,53,25,241.0,ASA,72,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.08,250,114,58,217.0,PLA,60,Grid,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,219,41,59,232.0,ASA,68,Grid,1,Normal,Warping (Kasa Acik),0
Ender-3 V2,0.8,0.28,219,100,55,199.0,ABS,12,Lightning,0,Yok,Warping (Kasa Acik),0
SV06 Plus,0.6,0.28,240,56,43,332.0,ABS,73,Grid,0,Yok,Warping (Kasa Acik),0
Creality K1C,0.4,0.16,277,87,31,243.0,ASA,37,Cubic,1,Yok,Warping (Soguk Yatak),0
Bambu Lab A1 Mini Combo,0.6,0.2,237,47,36,280.0,Recine_UV,29,Lightning,0,Tree,Basarili,1
Ender-3 V3 SE,0.6,0.08,222,95,41,154.0,PLA,75,Cubic,1,Normal,Basarili,1
Original Prusa MK4,0.4,0.08,263,56,38,249.0,ASA,11,Grid,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.6,0.28,271,108,28,261.0,ASA,63,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.28,208,51,31,436.0,Recine_UV,37,Gyroid,0,Tree,Basarili,1
Bambu Lab A1 Mini,0.6,0.12,260,77,51,221.0,ASA,45,Gyroid,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.6,0.28,246,57,50,298.0,PLA,37,Cubic,1,Yok,Basarili,1
Original Prusa MK4,0.4,0.12,208,65,36,79.0,TPU,33,Lightning,0,Normal,Basarili,1
Bambu Lab P1S Combo,0.4,0.08,277,76,42,369.0,PLA,43,Grid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.12,268,109,29,361.0,Recine_UV,61,Gyroid,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.12,230,80,49,99.0,ASA,97,Gyroid,0,Normal,Warping (Kasa Acik),0
Creality K1 Max,0.6,0.16,231,81,38,50.0,PETG,68,Grid,1,Tree,Basarili,1
Ender-3 V3 SE,0.6,0.28,276,80,45,159.0,PETG,90,Grid,0,Normal,Basarili,1
Original Prusa MK4,0.2,0.12,241,86,45,424.0,ABS,70,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.08,193,53,30,449.0,TPU,13,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.2,193,40,39,81.0,Recine_UV,33,Lightning,0,Tree,Basarili,1
Bambu Lab A1,0.4,0.12,194,56,23,229.0,ABS,78,Lightning,1,Yok,Basarili,1
Neptune 3,0.4,0.28,230,94,31,162.0,ABS,32,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.16,276,92,44,228.0,PETG,57,Lightning,0,Tree,Basarili,1
Form 3B+,0.8,0.08,250,70,29,291.0,PLA,50,Grid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V3 SE,0.4,0.16,264,101,41,131.0,ABS,43,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.2,244,47,26,252.0,ABS,80,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.6,0.12,264,69,43,357.0,TPU,62,Gyroid,1,Yok,Basarili,1
Sermoon D1,0.4,0.12,202,105,21,241.0,PETG,90,Gyroid,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.8,0.28,203,84,51,307.0,PLA,58,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab P1S,0.8,0.12,249,57,40,194.0,TPU,10,Cubic,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.08,261,84,26,234.0,PLA,49,Lightning,0,Normal,Basarili,1
Bambu Lab A1,0.4,0.2,214,58,27,67.0,PLA,44,Gyroid,0,Normal,Basarili,1
Ender-3 V2,0.4,0.16,271,107,57,233.0,ABS,27,Gyroid,0,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.4,0.2,233,89,40,262.0,TPU,46,Grid,0,Yok,Basarili,1
X5SA Pro,0.2,0.12,271,64,27,146.0,ABS,42,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.16,199,77,44,188.0,ASA,20,Gyroid,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,260,75,47,174.0,PLA,78,Grid,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.2,0.2,239,107,47,134.0,TPU,51,Grid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.16,233,95,50,309.0,PETG,25,Grid,0,Tree,Basarili,1
Creality K1 Max,0.8,0.16,203,78,55,413.0,ABS,78,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
H2D AMS Combo,0.4,0.16,204,102,44,165.0,ASA,79,Gyroid,0,Normal,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.08,205,46,56,,Recine_UV,25,Gyroid,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.2,191,97,57,368.0,ASA,29,Gyroid,1,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.8,0.16,219,98,31,357.0,ASA,65,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.4,0.2,219,87,56,51.0,ABS,58,Lightning,1,Yok,Warping (Soguk Yatak),0
Ender-3 V3 KE,0.4,0.16,271,44,56,333.0,PETG,99,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.28,220,75,50,334.0,TPU,95,Grid,1,Tree,Tikanma (Yetersiz Akis),0
Creator Pro 2,0.4,0.28,266,64,37,381.0,PLA,93,Cubic,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.6,0.28,209,84,45,43.0,PETG,64,Cubic,0,Yok,Basarili,1
Mars 5 Ultra,0.4,0.12,238,58,25,343.0,ABS,46,Gyroid,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab A1,0.4,0.16,224,46,28,430.0,Recine_UV,65,Lightning,1,Yok,Tikanma (Yetersiz Akis),0
Ender-3 Max Neo,0.4,0.12,212,97,30,355.0,TPU,36,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.2,250,105,50,207.0,PLA,57,Lightning,1,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.2,0.12,273,78,21,47.0,Recine_UV,48,Lightning,0,Yok,Basarili,1
Sidewinder X3,0.6,0.2,244,57,48,163.0,TPU,15,Cubic,0,Tree,Basarili,1
Creality K1C,0.4,0.2,256,40,24,411.0,PLA,51,Grid,0,Yok,Basarili,1
Creality K1C,0.4,0.2,197,102,42,353.0,PLA,94,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Vyper,0.2,0.12,229,42,55,224.0,ASA,64,Gyroid,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.16,248,60,26,74.0,Recine_UV,40,Cubic,1,Tree,Basarili,1
Ender-3 V2,0.4,0.12,221,69,32,112.0,Recine_UV,64,Grid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.2,0.16,196,50,29,410.0,ABS,37,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.16,191,61,55,52.0,PETG,46,Cubic,1,Yok,Basarili,1
Bambu Lab P1S,0.4,0.2,274,96,35,78.0,ASA,17,Lightning,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.12,195,42,34,123.0,ASA,18,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.16,225,69,38,60.0,TPU,62,Gyroid,0,Yok,Basarili,1
Creality K1 Max,0.4,0.28,221,84,40,292.0,Recine_UV,44,Lightning,0,Yok,Basarili,1
Ender-3 V2,0.4,0.16,234,75,54,342.0,PLA,69,Lightning,1,Tree,Basarili,1
Original Prusa MK4,0.8,0.28,231,111,34,297.0,PLA,9,Grid,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.12,242,103,33,339.0,TPU,34,Cubic,0,Yok,Basarili,1
Ender-3 V2,0.4,0.12,198,93,48,69.0,Recine_UV,86,Cubic,1,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,264,107,24,167.0,ABS,49,Grid,0,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.8,0.16,276,89,37,350.0,PLA,62,Lightning,0,Yok,Basarili,1
Creality K1 Max,0.6,0.08,264,70,20,79.0,ASA,43,Lightning,0,Tree,Warping (Soguk Yatak),0
Hornet,0.4,0.16,238,68,46,136.0,ASA,16,Cubic,0,Tree,Basarili,1
Creality K1 Max,0.4,0.16,191,98,46,263.0,Recine_UV,38,Gyroid,1,Normal,Basarili,1
Bambu Lab A1,0.6,0.2,256,75,44,131.0,PLA,18,Cubic,0,Normal,Basarili,1
Crux 1,0.4,0.2,200,112,40,319.0,PLA,42,Gyroid,1,Normal,Tikanma (Yetersiz Akis),0
Elegoo Neptune 4 Pro,0.4,0.16,239,106,33,209.0,ABS,20,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.4,0.28,224,50,39,323.0,Recine_UV,65,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Elegoo Neptune 4 Pro,0.2,0.2,204,50,47,261.0,PLA,63,Gyroid,0,Yok,Basarili,1
Original Prusa MK4,0.6,0.16,264,65,40,156.0,ABS,79,Gyroid,1,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.8,0.08,220,92,42,287.0,ASA,83,Gyroid,0,Tree,Warping (Kasa Acik),0
Voron 0,0.4,0.28,251,53,30,400.0,ABS,78,Gyroid,0,Yok,Warping (Kasa Acik),0
Mars 3 Pro,0.4,0.12,217,103,21,388.0,PLA,71,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
V400,0.4,0.16,214,49,39,393.0,PETG,15,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.6,0.16,273,70,43,445.0,Recine_UV,15,Lightning,0,Tree,Basarili,1
Creality K1C,0.6,0.28,214,75,44,128.0,PLA,20,Cubic,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.6,0.2,264,49,56,117.0,PETG,42,Grid,1,Normal,Basarili,1
HALOT-Lite,0.6,0.2,272,65,41,113.0,ASA,34,Cubic,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.4,0.2,190,59,43,431.0,Recine_UV,45,Grid,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.2,0.12,248,83,34,53.0,TPU,5,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.28,258,101,31,84.0,Recine_UV,42,Lightning,0,Yok,Basarili,1
Ender-3 V3 KE,0.6,0.28,263,112,50,77.0,ASA,64,Lightning,0,Normal,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.2,231,48,50,284.0,ASA,23,Gyroid,0,Normal,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.2,0.2,223,110,49,101.0,ASA,63,Grid,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.08,255,63,39,135.0,ABS,72,Cubic,1,Normal,Basarili,1
Bambu Lab X1 Carbon,0.4,0.08,207,51,27,362.0,ASA,14,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.2,0.16,266,99,49,291.0,TPU,21,Cubic,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.4,0.16,194,55,54,100.0,PLA,84,Lightning,1,Tree,Basarili,1
SV05,0.4,0.28,209,68,40,308.0,PETG,89,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.4,0.28,255,71,59,158.0,Recine_UV,96,Grid,0,Normal,Basarili,1
Ender-3 V3 KE,0.4,0.12,264,74,47,126.0,Recine_UV,76,Cubic,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.12,251,82,58,122.0,ASA,33,Cubic,0,Normal,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.6,0.08,221,92,36,119.0,PETG,10,Gyroid,0,Tree,Basarili,1
Creality K1C,0.4,0.16,247,59,31,267.0,ASA,98,Lightning,1,Yok,Warping (Soguk Yatak),0
CR-6 Max,0.4,0.08,239,47,37,342.0,ABS,70,Gyroid,1,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.6,0.08,227,81,47,150.0,PETG,67,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.16,244,109,22,409.0,ASA,35,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.6,0.12,217,55,34,349.0,ASA,29,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.16,263,108,35,110.0,TPU,91,Grid,0,Normal,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,275,92,41,367.0,TPU,25,Lightning,0,Yok,Basarili,1
Bambu Lab A1,0.2,0.2,270,84,50,64.0,TPU,20,Gyroid,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.2,211,90,50,318.0,ABS,8,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.28,232,45,20,241.0,PETG,50,Gyroid,0,Yok,Basarili,1
Creality K1 Max,0.4,0.12,272,72,30,264.0,ABS,12,Gyroid,0,Yok,Basarili,1
Original Prusa MK4,0.8,0.12,270,54,25,306.0,PLA,10,Lightning,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.28,277,53,42,322.0,ASA,57,Grid,0,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.6,0.08,225,78,28,156.0,ASA,68,Lightning,0,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.2,241,102,35,106.0,ASA,95,Grid,0,Yok,Warping (Kasa Acik),0
Creality K1 Max,0.6,0.2,225,44,57,86.0,TPU,55,Grid,0,Yok,Basarili,1
X-Plus II,0.4,0.08,217,91,38,280.0,ASA,67,Gyroid,1,Tree,Warping (Kasa Acik),0
Bambu Lab P1S,0.4,0.16,267,55,32,217.0,TPU,92,Gyroid,0,Tree,Basarili,1
Form 1+,0.4,0.16,247,77,51,47.0,PLA,10,Gyroid,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.4,0.12,225,92,55,222.0,ABS,66,Grid,1,Yok,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.6,0.28,259,92,28,116.0,ABS,37,Cubic,0,Normal,Basarili,1
Ender-3 V3 SE,0.4,0.12,198,85,56,106.0,ABS,6,Cubic,0,Yok,Warping (Kasa Acik),0
LD-002H,0.2,0.16,210,54,50,187.0,TPU,45,Cubic,0,Tree,Hatali Malzeme (Reçine Cihazi),0
