Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Renk_Degisimi_Sayisi,Hata_Detayi,Baski_Durumu
0.4,0.16,205,68,54.0,306.0,ASA,46,Gyroid,0,Tree,33,Tikanma,0
0.4,0.12,259,111,,288.0,ASA,21,Lightning,1,Yok,6,Basarili,1
0.4,0.16,255,90,35.0,58.0,TPU,99,Lightning,0,Yok,4,Ipliklenme,0
0.8,0.08,202,81,40.0,169.0,ABS,46,Cubic,0,Yok,20,Warping,0
0.4,0.2,236,70,31.0,397.0,PLA,14,Gyroid,1,Normal,5,Basarili,1
0.4,0.12,198,102,43.0,139.0,PLA,50,Cubic,0,Normal,44,Basarili,1
0.6,0.28,252,65,53.0,421.0,PETG,88,Gyroid,0,Yok,49,Spagetti,0
0.4,0.08,223,57,27.0,361.0,TPU,53,Gyroid,0,Tree,34,Tikanma,0
0.6,0.12,270,96,40.0,224.0,TPU,13,Grid,0,Tree,41,Ipliklenme,0
0.4,0.08,218,46,27.0,52.0,PLA,83,Lightning,0,Yok,22,Basarili,1
0.4,0.28,226,87,47.0,179.0,ABS,43,Grid,0,Normal,2,Basarili,1
0.4,0.12,232,99,35.0,103.0,TPU,6,Gyroid,0,Tree,32,Tikanma,0
0.4,0.28,275,72,29.0,342.0,ASA,72,Cubic,0,Yok,37,Warping,0
0.2,0.16,253,42,34.0,233.0,ASA,56,Gyroid,1,Yok,22,Warping,0
0.6,0.28,213,43,23.0,402.0,TPU,92,Grid,0,Yok,15,Spagetti,0
0.4,0.16,260,43,45.0,273.0,ABS,86,Lightning,0,Tree,24,Warping,0
0.4,0.12,223,81,34.0,61.0,ASA,15,Cubic,0,Yok,48,Warping,0
0.2,0.16,237,48,55.0,244.0,ABS,41,Gyroid,1,Tree,15,Warping,0
0.4,0.12,201,90,51.0,296.0,PLA,94,Gyroid,1,Normal,24,Tikanma,0
0.4,0.12,212,56,57.0,417.0,PETG,76,Lightning,1,Yok,41,Basarili,1
0.2,0.2,268,56,23.0,203.0,PLA,26,Gyroid,0,Yok,6,Basarili,1
0.4,0.12,202,59,28.0,127.0,PETG,56,Gyroid,0,Yok,7,Basarili,1
0.4,0.16,276,53,,189.0,ASA,9,Lightning,0,Yok,2,Warping,0
0.4,0.2,234,61,47.0,139.0,PETG,6,Grid,0,Yok,4,Basarili,1
0.4,0.2,254,91,56.0,193.0,PETG,9,Grid,1,Yok,18,Basarili,1
0.4,0.12,236,66,28.0,121.0,TPU,36,Grid,0,Tree,6,Tikanma,0
0.4,0.28,247,82,21.0,226.0,PETG,23,Grid,0,Yok,49,Ipliklenme,0
0.8,0.28,194,42,22.0,397.0,TPU,8,Cubic,1,Normal,21,Tikanma,0
0.4,0.2,266,47,24.0,312.0,PETG,91,Cubic,0,Yok,25,Ipliklenme,0
0.4,0.12,194,49,29.0,320.0,TPU,50,Lightning,1,Normal,49,Tikanma,0
0.4,0.28,249,68,47.0,154.0,ASA,87,Lightning,0,Tree,24,Warping,0
0.8,0.12,210,79,34.0,121.0,ASA,30,Lightning,1,Yok,5,Warping,0
0.6,0.12,213,104,33.0,123.0,PETG,54,Cubic,1,Yok,4,Basarili,1
0.4,0.2,207,60,42.0,192.0,ABS,30,Gyroid,0,Tree,37,Warping,0
0.4,0.2,210,63,32.0,111.0,ASA,75,Cubic,0,Normal,37,Warping,0
0.6,0.08,243,112,35.0,195.0,PLA,36,Grid,0,Yok,21,Basarili,1
0.4,0.28,199,99,49.0,95.0,PLA,48,Grid,0,Tree,30,Basarili,1
0.4,0.28,213,65,59.0,278.0,TPU,30,Gyroid,1,Yok,21,Tikanma,0
0.4,0.28,274,48,27.0,154.0,ABS,65,Lightning,0,Yok,10,Basarili,1
0.2,0.16,278,59,36.0,158.0,TPU,92,Cubic,0,Yok,31,Ipliklenme,0
0.6,0.12,249,95,49.0,366.0,PETG,55,Gyroid,1,Normal,16,Ipliklenme,0
0.8,0.2,246,75,36.0,170.0,ASA,63,Gyroid,0,Tree,40,Warping,0
0.4,0.28,212,75,54.0,92.0,ABS,91,Cubic,0,Tree,21,Warping,0
0.4,0.08,211,112,20.0,148.0,TPU,42,Gyroid,1,Tree,15,Tikanma,0
0.4,0.28,257,61,43.0,243.0,TPU,30,Lightning,0,Yok,41,Ipliklenme,0
0.6,0.12,223,40,44.0,360.0,PLA,49,Cubic,0,Tree,14,Basarili,1
0.6,0.12,259,108,21.0,263.0,PETG,35,Cubic,0,Normal,7,Basarili,1
0.6,0.2,217,112,44.0,278.0,TPU,74,Gyroid,1,Yok,45,Tikanma,0
0.6,0.16,228,76,33.0,,PLA,49,Lightning,0,Tree,47,Basarili,1
0.4,0.2,231,111,,234.0,ABS,35,Lightning,0,Normal,2,Basarili,1
0.2,0.28,212,52,52.0,161.0,TPU,65,Grid,0,Yok,12,Tikanma,0
0.4,0.08,259,82,36.0,448.0,PLA,52,Cubic,0,Yok,29,Basarili,0
0.6,0.2,269,76,50.0,396.0,PETG,49,Grid,0,Tree,27,Ipliklenme,0
0.4,0.16,191,113,,321.0,ASA,64,Lightning,1,Yok,8,Tikanma,0
0.2,0.2,213,64,25.0,362.0,ABS,65,Lightning,0,Yok,11,Warping,0
0.4,0.12,206,60,58.0,151.0,TPU,56,Grid,0,Tree,24,Tikanma,0
0.4,0.28,254,80,44.0,259.0,PLA,56,Cubic,0,Yok,36,Basarili,0
0.2,0.28,259,112,57.0,276.0,TPU,80,Grid,0,Yok,20,Ipliklenme,0
0.4,0.28,258,81,56.0,330.0,ASA,85,Lightning,0,Tree,38,Warping,0
0.4,0.28,249,81,49.0,71.0,TPU,66,Lightning,0,Yok,38,Ipliklenme,0
0.4,0.28,239,41,53.0,297.0,TPU,30,Gyroid,0,Yok,18,Tikanma,0
0.4,0.28,201,107,37.0,208.0,PLA,71,Gyroid,1,Normal,7,Basarili,1
0.4,0.08,236,47,43.0,428.0,ASA,83,Grid,0,Yok,37,Warping,0
0.6,0.16,256,100,46.0,278.0,ABS,53,Gyroid,0,Tree,2,Basarili,1
0.4,0.28,254,53,46.0,392.0,PLA,92,Lightning,0,Yok,21,Basarili,1
0.4,0.16,216,60,58.0,449.0,ASA,98,Cubic,0,Tree,0,Warping,0
0.6,0.28,237,63,40.0,236.0,ASA,48,Cubic,0,Yok,37,Warping,0
0.4,0.2,277,89,38.0,192.0,TPU,40,Grid,0,Yok,18,Ipliklenme,0
0.6,0.28,251,84,58.0,387.0,PETG,57,Gyroid,1,Yok,20,Spagetti,0
0.4,0.12,233,103,42.0,407.0,PETG,48,Grid,0,Yok,12,Basarili,1
0.4,0.08,208,103,58.0,446.0,ABS,95,Gyroid,0,Normal,26,Tikanma,0
0.2,0.2,248,65,34.0,73.0,TPU,26,Cubic,0,Normal,16,Ipliklenme,0
0.4,0.2,197,71,21.0,190.0,PETG,6,Gyroid,1,Tree,49,Basarili,1
0.4,0.12,244,96,54.0,289.0,PLA,11,Gyroid,0,Yok,19,Basarili,1
0.4,0.28,236,92,39.0,341.0,ABS,20,Grid,0,Yok,29,Basarili,1
0.8,0.08,191,72,47.0,354.0,TPU,92,Cubic,0,Yok,37,Tikanma,0
0.4,0.2,228,91,34.0,131.0,PLA,98,Gyroid,1,Yok,10,Basarili,1
0.6,0.08,234,57,35.0,97.0,PETG,48,Cubic,0,Yok,26,Basarili,1
0.4,0.2,221,74,52.0,402.0,PETG,69,Gyroid,0,Yok,37,Basarili,1
0.6,0.28,254,51,31.0,407.0,PETG,95,Cubic,0,Yok,27,Spagetti,0
0.4,0.2,227,90,58.0,220.0,PETG,77,Gyroid,1,Tree,25,Basarili,1
0.4,0.2,266,49,58.0,311.0,ASA,75,Lightning,0,Normal,38,Warping,0
0.4,0.16,200,91,39.0,,ABS,73,Cubic,1,Yok,32,Basarili,1
0.4,0.28,199,73,48.0,63.0,ABS,65,Lightning,1,Yok,31,Warping,0
0.6,0.12,248,106,22.0,79.0,PETG,34,Lightning,0,Normal,24,Ipliklenme,0
0.4,0.12,279,78,24.0,,ABS,46,Lightning,0,Tree,23,Warping,0
0.2,0.28,244,47,21.0,261.0,PLA,95,Gyroid,0,Yok,39,Basarili,1
0.4,0.12,209,68,42.0,,PLA,78,Cubic,0,Tree,26,Tikanma,0
0.4,0.28,270,61,45.0,371.0,ABS,29,Gyroid,0,Normal,45,Warping,0
0.8,0.12,206,109,45.0,437.0,PETG,86,Gyroid,0,Normal,21,Tikanma,0
0.8,0.16,257,100,26.0,251.0,TPU,75,Cubic,0,Tree,19,Ipliklenme,0
0.8,0.12,194,82,29.0,133.0,PETG,61,Grid,0,Tree,32,Basarili,1
0.4,0.2,249,88,24.0,425.0,ASA,99,Gyroid,1,Yok,4,Warping,0
0.2,0.28,212,68,31.0,102.0,TPU,36,Lightning,0,Tree,28,Tikanma,0
0.8,0.08,235,70,,404.0,ASA,54,Gyroid,0,Normal,4,Basarili,1
0.4,0.08,241,92,50.0,305.0,ABS,79,Grid,0,Yok,45,Basarili,0
0.8,0.28,199,73,41.0,123.0,ASA,14,Lightning,0,Normal,38,Warping,0
0.8,0.16,235,77,36.0,269.0,ABS,26,Gyroid,0,Tree,16,Basarili,1
0.6,0.12,217,96,39.0,192.0,ASA,99,Cubic,0,Normal,28,Basarili,1
0.4,0.16,232,43,,149.0,TPU,45,Lightning,1,Tree,10,Tikanma,0
0.4,0.08,215,41,27.0,178.0,ASA,51,Grid,0,Normal,21,Warping,0
0.6,0.28,244,51,53.0,268.0,PETG,18,Gyroid,0,Yok,30,Basarili,1
0.4,0.28,237,74,,320.0,ABS,7,Cubic,1,Normal,38,Warping,0
0.4,0.16,218,109,57.0,71.0,PLA,92,Lightning,0,Normal,0,Basarili,1
0.4,0.16,216,111,47.0,227.0,ASA,82,Lightning,0,Yok,14,Basarili,1
0.8,0.12,207,60,32.0,97.0,ABS,57,Cubic,0,Normal,18,Warping,0
0.4,0.2,249,100,48.0,166.0,PLA,20,Grid,0,Tree,9,Basarili,1
0.4,0.2,263,74,27.0,378.0,ABS,65,Lightning,1,Tree,8,Basarili,1
0.2,0.12,258,87,30.0,425.0,ABS,32,Grid,0,Yok,12,Warping,0
0.4,0.2,263,54,37.0,228.0,PLA,39,Grid,0,Yok,44,Basarili,0
0.8,0.08,210,110,44.0,322.0,PLA,6,Cubic,0,Normal,25,Basarili,0
0.4,0.2,213,54,41.0,411.0,TPU,65,Lightning,0,Yok,5,Tikanma,0
0.4,0.12,192,45,54.0,388.0,ASA,60,Gyroid,1,Yok,39,Tikanma,0
0.6,0.2,251,107,48.0,409.0,ASA,59,Cubic,0,Normal,43,Basarili,1
0.6,0.28,191,61,40.0,396.0,ABS,22,Cubic,0,Tree,1,Tikanma,0
0.4,0.16,255,71,26.0,228.0,PETG,75,Grid,1,Yok,28,Basarili,1
0.6,0.08,231,61,31.0,,PETG,53,Gyroid,0,Tree,47,Basarili,1
0.4,0.28,223,66,55.0,364.0,ABS,46,Cubic,0,Tree,11,Warping,0
0.4,0.28,231,54,43.0,443.0,TPU,11,Grid,1,Yok,22,Spagetti,0
0.6,0.12,209,83,51.0,304.0,PLA,8,Lightning,0,Tree,49,Tikanma,0
0.6,0.16,257,48,46.0,79.0,ABS,47,Grid,0,Normal,2,Warping,0
0.6,0.16,234,73,51.0,134.0,ASA,84,Gyroid,0,Tree,49,Warping,0
0.8,0.08,264,112,51.0,326.0,PETG,63,Gyroid,0,Yok,10,Basarili,1
0.4,0.12,231,54,51.0,83.0,PETG,53,Grid,0,Yok,4,Basarili,1
0.4,0.08,236,101,45.0,378.0,PETG,64,Lightning,1,Yok,44,Basarili,1
0.6,0.2,194,84,30.0,147.0,TPU,10,Gyroid,0,Yok,9,Tikanma,0
0.4,0.28,278,111,37.0,125.0,ASA,24,Gyroid,0,Yok,46,Basarili,1
0.6,0.08,238,97,58.0,224.0,TPU,35,Lightning,0,Yok,5,Basarili,1
0.6,0.28,226,58,24.0,390.0,PLA,87,Cubic,1,Yok,15,Basarili,1
0.6,0.12,223,55,35.0,298.0,ABS,26,Gyroid,0,Yok,30,Warping,0
0.4,0.2,262,114,30.0,389.0,ABS,89,Grid,1,Yok,22,Warping,0
0.4,0.12,259,47,54.0,183.0,PETG,86,Lightning,0,Normal,29,Ipliklenme,0
0.2,0.2,207,72,30.0,227.0,PETG,36,Gyroid,0,Yok,39,Basarili,1
0.4,0.2,267,113,42.0,414.0,PLA,51,Cubic,1,Yok,19,Basarili,1
0.2,0.28,208,57,53.0,277.0,TPU,38,Gyroid,0,Tree,24,Tikanma,0
0.4,0.12,267,74,,112.0,ASA,31,Cubic,0,Yok,34,Warping,0
0.4,0.12,229,82,29.0,317.0,PLA,48,Gyroid,0,Yok,4,Basarili,1
0.4,0.08,206,89,37.0,307.0,ABS,34,Gyroid,0,Yok,46,Tikanma,0
0.4,0.12,249,42,27.0,193.0,ABS,37,Grid,1,Tree,2,Warping,0
0.2,0.08,231,98,45.0,434.0,TPU,31,Lightning,0,Tree,46,Tikanma,0
0.2,0.16,270,67,22.0,437.0,PLA,60,Lightning,1,Yok,33,Basarili,0
0.6,0.16,261,85,43.0,352.0,ASA,27,Grid,1,Normal,11,Warping,0
0.4,0.16,254,103,22.0,101.0,PLA,47,Lightning,0,Yok,26,Basarili,1
0.4,0.12,242,109,57.0,352.0,PLA,87,Lightning,0,Yok,4,Basarili,1
0.4,0.12,196,86,21.0,148.0,TPU,58,Lightning,0,Yok,40,Tikanma,0
0.6,0.08,194,53,54.0,355.0,ASA,99,Gyroid,1,Tree,21,Tikanma,0
0.4,0.2,213,46,36.0,94.0,ABS,72,Gyroid,1,Yok,3,Warping,0
